RegionType,RegionCode,Category,AgeKey,Gender,PoolType,Style,Distance,Time,HolderName,Club,HolderCountry,RecordDate
world,,masters,100-104,male,25m,freestyle,100m,02:13.96,LAMB Willard,,USA,12/03/2022
world,,masters,100-104,male,25m,freestyle,1500m,38:32.90,LAMB Willard,,USA,30/01/2022
world,,masters,100-104,male,25m,freestyle,200m,04:50.84,LAMB Willard,,USA,12/03/2022
world,,masters,100-104,male,25m,freestyle,400m,10:05.73,LAMB Willard,,USA,30/01/2022
world,,masters,100-104,male,25m,freestyle,50m,55.75,CORONES George,,AUS,23/06/2018
world,,masters,100-104,male,25m,freestyle,800m,20:23.87,LAMB Willard,,USA,30/01/2022
world,,masters,100-104,male,50m,backstroke,100m,02:29.17,LAMB Willard,,USA,04/08/2022
world,,masters,100-104,male,50m,backstroke,200m,05:12.53,LAMB Willard,,USA,05/08/2022
world,,masters,100-104,male,50m,backstroke,50m,01:06.77,BIEDERMANN Anton Karl,,BRA,19/10/2024
world,,masters,100-104,male,50m,breaststroke,100m,04:26.93,CHYZHEVSKYI Heorhii,,UKR,28/06/2024
world,,masters,100-104,male,50m,breaststroke,200m,08:47.67,CHYZHEVSKYI Heorhii,,UKR,28/06/2024
world,,masters,100-104,male,50m,breaststroke,50m,02:03.11,CHYZHEVSKYI Heorhii,,UKR,28/06/2024
world,,masters,100-104,male,50m,freestyle,100m,02:15.99,LAMB Willard,,USA,07/08/2022
world,,masters,100-104,male,50m,freestyle,1500m,42:27.06,LAMB Willard,,USA,03/08/2022
world,,masters,100-104,male,50m,freestyle,200m,05:18.86,LAMB Willard,,USA,03/08/2022
world,,masters,100-104,male,50m,freestyle,400m,10:55.25,LAMB Willard,,USA,03/08/2022
world,,masters,100-104,male,50m,freestyle,50m,56.12,CORONES George,,AUS,28/02/2018
world,,masters,100-104,male,50m,freestyle,800m,22:15.67,LAMB Willard,,USA,03/08/2022
world,,masters,105-109,female,50m,backstroke,50m,02:05.63,KORNFELD Maurine,,USA,07/06/2026
world,,masters,105-109,male,25m,backstroke,50m,03:09.55,TIMMERMAN Jaring,,CAN,24/01/2014
world,,masters,105-109,male,25m,freestyle,50m,02:52.48,TIMMERMAN Jaring,,CAN,24/01/2014
world,,masters,25-29,female,25m,backstroke,100m,58.78,PEDA Paulina,,POL,12/12/2025
world,,masters,25-29,female,25m,backstroke,200m,02:10.37,VERMEULEN Tessa,,NED,19/02/2023
world,,masters,25-29,female,25m,backstroke,50m,27.27,PRYOR Georgina,,GBR,27/10/2024
world,,masters,25-29,female,25m,breaststroke,100m,01:06.83,WEBER - CHOCOVA Petra,,CZE,07/06/2014
world,,masters,25-29,female,25m,breaststroke,200m,02:28.33,HOSOKOSHI Satori,,JPN,21/03/2021
world,,masters,25-29,female,25m,breaststroke,50m,29.96,CLARK Imogen,,GBR,25/10/2025
world,,masters,25-29,female,25m,butterfly,100m,58.11,DONAHUE Claire,,USA,12/12/2015
world,,masters,25-29,female,25m,butterfly,200m,02:09.64,NAKANISHI Yoko,,JPN,08/05/2010
world,,masters,25-29,female,25m,butterfly,50m,26.14,DE JONG Elinore,,NED,19/01/2018
world,,masters,25-29,female,25m,freestyle,100m,52.46,HOPKIN Anna,,GBR,25/11/2023
world,,masters,25-29,female,25m,freestyle,1500m,16:36.07,TAORMINA Sheila,,USA,31/03/1996
world,,masters,25-29,female,25m,freestyle,200m,01:57.99,VERMEULEN Tessa,,NED,18/02/2023
world,,masters,25-29,female,25m,freestyle,400m,04:13.71,VERMEULEN Tessa,,NED,17/02/2023
world,,masters,25-29,female,25m,freestyle,50m,24.01,HOPKIN Anna,,GBR,26/11/2023
world,,masters,25-29,female,25m,freestyle,800m,08:51.18,TAORMINA Sheila,,USA,31/03/1996
world,,masters,25-29,female,25m,individual_medley,100m,01:01.79,KUROKI Masako,,JPN,26/01/2019
world,,masters,25-29,female,25m,individual_medley,200m,02:17.17,MATSUDA Hitomi,,JPN,23/04/2006
world,,masters,25-29,female,25m,individual_medley,400m,04:44.98,BARANOWSKA Katarzyna,,GER,27/09/2015
world,,masters,25-29,female,50m,backstroke,100m,01:01.60,MORONUKI Emi,,USA,31/07/2018
world,,masters,25-29,female,50m,backstroke,200m,02:13.19,MORONUKI Emi,,USA,30/07/2018
world,,masters,25-29,female,50m,backstroke,50m,28.39,MORONUKI Emi,,USA,02/08/2018
world,,masters,25-29,female,50m,breaststroke,100m,01:10.56,JENDRICK Megan,,USA,10/07/2010
world,,masters,25-29,female,50m,breaststroke,200m,02:32.35,SHVAEVA Irina,,RUS,24/06/2023
world,,masters,25-29,female,50m,breaststroke,50m,31.60,JENDRICK Megan,,USA,10/07/2010
world,,masters,25-29,female,50m,butterfly,100m,59.99,POLIAKOVA Anna,,RUS,13/08/2015
world,,masters,25-29,female,50m,butterfly,200m,02:15.02,SAIZ Hannah,,USA,20/05/2017
world,,masters,25-29,female,50m,butterfly,50m,26.32,KUROKI Masako,,JPN,16/06/2019
world,,masters,25-29,female,50m,freestyle,100m,56.96,GAGE Emma,,GBR,11/08/2015
world,,masters,25-29,female,50m,freestyle,1500m,16:34.89,OBERSON Swann,,SUI,11/03/2012
world,,masters,25-29,female,50m,freestyle,200m,02:02.06,CAMPBELL Jenna,,USA,22/08/2024
world,,masters,25-29,female,50m,freestyle,400m,04:15.99,BOY Lea,,GER,05/07/2025
world,,masters,25-29,female,50m,freestyle,50m,25.37,CUNDIFF Missy,,USA,24/08/2024
world,,masters,25-29,female,50m,freestyle,800m,08:45.89,OBERSON Swann,,SUI,10/03/2012
world,,masters,25-29,female,50m,individual_medley,200m,02:19.54,RAMAEL Maaike,,BEL,11/08/2025
world,,masters,25-29,female,50m,individual_medley,400m,04:59.92,ODGERS Isabelle,,USA,17/05/2026
world,,masters,25-29,male,25m,backstroke,100m,52.05,MAEJIMA Ryota,,JPN,14/01/2023
world,,masters,25-29,male,25m,backstroke,200m,01:56.01,MAEJIMA Ryota,,JPN,15/01/2023
world,,masters,25-29,male,25m,backstroke,50m,23.70,HELD Ryan,,USA,21/11/2021
world,,masters,25-29,male,25m,breaststroke,100m,58.13,FURUKAWA Yoshimasa,,JPN,14/04/2024
world,,masters,25-29,male,25m,breaststroke,200m,02:07.55,PRENOT Josh,,USA,14/10/2018
world,,masters,25-29,male,25m,breaststroke,50m,26.37,YANAGISAWA Toshinari,,JPN,18/04/2026
world,,masters,25-29,male,25m,butterfly,100m,51.13,GOMES Leonardo,,BRA,10/12/2023
world,,masters,25-29,male,25m,butterfly,200m,01:53.72,WATARAI Shun,,JPN,21/03/2021
world,,masters,25-29,male,25m,butterfly,50m,22.95,VERHOEVEN Thomas,,NED,24/11/2024
world,,masters,25-29,male,25m,freestyle,100m,47.43,CIELO Cesar,,USA,16/11/2014
world,,masters,25-29,male,25m,freestyle,1500m,15:05.08,PAULINS Sebastian,,CAN,26/05/2024
world,,masters,25-29,male,25m,freestyle,200m,01:44.90,TOWNSEND Darian,,USA,03/11/2013
world,,masters,25-29,male,25m,freestyle,400m,03:49.90,PAULINS Sebastian,,CAN,25/05/2024
world,,masters,25-29,male,25m,freestyle,50m,21.28,HELD Ryan,,USA,20/11/2021
world,,masters,25-29,male,25m,freestyle,800m,07:55.80,PAULINS Sebastian,,CAN,24/05/2024
world,,masters,25-29,male,25m,individual_medley,100m,52.78,HELD Ryan,,USA,21/11/2021
world,,masters,25-29,male,25m,individual_medley,200m,01:58.91,KUWAYAMA Ken,,JPN,04/10/2020
world,,masters,25-29,male,25m,individual_medley,400m,04:14.51,HASEGAWA Ikumi,,JPN,15/11/2009
world,,masters,25-29,male,50m,backstroke,100m,55.09,MAEJIMA Ryota,,JPN,21/11/2021
world,,masters,25-29,male,50m,backstroke,200m,02:02.76,GORBUNOV Dmitrii,,RUS,26/04/2019
world,,masters,25-29,male,50m,backstroke,50m,25.44,BUTYMOV Anton,,RUS,03/04/2016
world,,masters,25-29,male,50m,breaststroke,100m,01:00.39,STRELNIKOV Kirill,,RUS,16/04/2021
world,,masters,25-29,male,50m,breaststroke,200m,02:11.78,BURCKLE Christopher,,USA,10/08/2013
world,,masters,25-29,male,50m,breaststroke,50m,27.21,STRELNIKOV Kirill,,RUS,18/04/2021
world,,masters,25-29,male,50m,butterfly,100m,52.20,VEKOVISHCHEV Mikhail,,NAB,11/08/2025
world,,masters,25-29,male,50m,butterfly,200m,02:00.02,BEELEY Thomas,,GBR,28/03/2026
world,,masters,25-29,male,50m,butterfly,50m,23.15,VEKOVISHCHEV Mikhail,,NAB,10/08/2025
world,,masters,25-29,male,50m,freestyle,100m,48.72,GRINEV Vladislav,,RUS,26/05/2023
world,,masters,25-29,male,50m,freestyle,1500m,15:49.04,HERON David,,USA,12/08/2022
world,,masters,25-29,male,50m,freestyle,200m,01:50.76,DURANGO David Alcolado,,ESP,16/08/2017
world,,masters,25-29,male,50m,freestyle,400m,04:00.96,FEDOROV Aleksandr,,RUS,05/06/2022
world,,masters,25-29,male,50m,freestyle,50m,22.30,LIUKKONEN Ari-Pekka,,FIN,18/02/2017
world,,masters,25-29,male,50m,freestyle,800m,08:24.46,HERON David,,USA,12/08/2022
world,,masters,25-29,male,50m,individual_medley,200m,02:03.62,GORBUNOV Dmitrii,,RUS,28/04/2019
world,,masters,25-29,male,50m,individual_medley,400m,04:30.05,YABE Diogo De Oliveira,,BRA,12/09/2009
world,,masters,30-34,female,25m,backstroke,100m,58.98,BARTHOLOMEW Courtney,,USA,05/12/2025
world,,masters,30-34,female,25m,backstroke,200m,02:08.91,BARTHOLOMEW Courtney,,USA,15/12/2024
world,,masters,30-34,female,25m,backstroke,50m,27.43,NAKAMURA Mai,,JPN,19/04/2009
world,,masters,30-34,female,25m,breaststroke,100m,01:06.98,MATSUDA Hitomi,,JPN,17/04/2010
world,,masters,30-34,female,25m,breaststroke,200m,02:26.96,MATSUDA Hitomi,,JPN,18/04/2009
world,,masters,30-34,female,25m,breaststroke,50m,31.35,HEIDEMANN Nicole,,GER,29/11/2015
world,,masters,30-34,female,25m,butterfly,100m,59.82,POLIAKOVA Anna,,RUS,20/11/2016
world,,masters,30-34,female,25m,butterfly,200m,02:13.09,MATSUDA Hitomi,,JPN,25/05/2008
world,,masters,30-34,female,25m,butterfly,50m,26.37,GUY Rebecca,,GBR,25/10/2024
world,,masters,30-34,female,25m,freestyle,100m,52.76,WASICK Katarzyna,,POL,14/12/2025
world,,masters,30-34,female,25m,freestyle,1500m,16:26.93,HECKMAN Dawn,,USA,02/12/2011
world,,masters,30-34,female,25m,freestyle,200m,01:58.30,WASICK Katarzyna,,POL,11/12/2025
world,,masters,30-34,female,25m,freestyle,400m,04:14.56,CASSON Sophie,,GBR,28/10/2017
world,,masters,30-34,female,25m,freestyle,50m,23.68,WASICK Katarzyna,,POL,13/12/2025
world,,masters,30-34,female,25m,freestyle,800m,08:38.58,HECKMAN Dawn,,USA,04/12/2011
world,,masters,30-34,female,25m,individual_medley,100m,01:02.15,MORNINGSTAR Erica,,CAN,27/05/2023
world,,masters,30-34,female,25m,individual_medley,200m,02:13.41,MATSUDA Hitomi,,JPN,14/11/2009
world,,masters,30-34,female,25m,individual_medley,400m,04:45.07,MATSUDA Hitomi,,JPN,17/04/2010
world,,masters,30-34,female,50m,backstroke,100m,01:01.78,INADA Noriko,,USA,06/08/2011
world,,masters,30-34,female,50m,backstroke,200m,02:17.61,METZGER Sarabeth,,USA,06/08/2009
world,,masters,30-34,female,50m,backstroke,50m,28.57,INADA Noriko,,USA,07/08/2012
world,,masters,30-34,female,50m,breaststroke,100m,01:10.10,MATSUDA Hitomi,,JPN,03/10/2009
world,,masters,30-34,female,50m,breaststroke,200m,02:28.93,MATSUDA Hitomi,,JPN,17/10/2009
world,,masters,30-34,female,50m,breaststroke,50m,32.22,HEIDEMANN Nicole,,GER,03/09/2013
world,,masters,30-34,female,50m,butterfly,100m,58.81,MORAVCOVA Martina,,USA,07/06/2008
world,,masters,30-34,female,50m,butterfly,200m,02:13.60,JACOBSEN Mette,,DEN,07/05/2006
world,,masters,30-34,female,50m,butterfly,50m,26.80,QUILTER Laura,,NZL,08/06/2024
world,,masters,30-34,female,50m,freestyle,100m,55.24,ERNDL Erika,,USA,11/07/2009
world,,masters,30-34,female,50m,freestyle,1500m,17:20.55,CASSON Sophie,,GBR,16/06/2017
world,,masters,30-34,female,50m,freestyle,200m,02:02.35,JUNKRAJANG Natthanan,,THA,14/08/2019
world,,masters,30-34,female,50m,freestyle,400m,04:18.63,HECKMAN Dawn,,USA,16/07/2011
world,,masters,30-34,female,50m,freestyle,50m,24.53,WASICK Katarzyna,,USA,11/07/2026
world,,masters,30-34,female,50m,freestyle,800m,08:46.47,HECKMAN Dawn,,USA,14/07/2011
world,,masters,30-34,female,50m,individual_medley,200m,02:13.89,ERNDL Erika,,USA,07/07/2009
world,,masters,30-34,female,50m,individual_medley,400m,04:56.08,MATSUDA Hitomi,,JPN,08/11/2009
world,,masters,30-34,male,25m,backstroke,100m,52.07,MAEJIMA Ryota,,JPN,04/04/2026
world,,masters,30-34,male,25m,backstroke,200m,01:53.66,MORITA Junichi,,JPN,13/02/2022
world,,masters,30-34,male,25m,backstroke,50m,23.86,SILVA JR. Nelson,,BRA,07/05/2017
world,,masters,30-34,male,25m,breaststroke,100m,57.78,SHIMAZAKI Shotaro,,JPN,13/04/2025
world,,masters,30-34,male,25m,breaststroke,200m,02:08.12,FISCHER Brandon,,USA,01/12/2023
world,,masters,30-34,male,25m,breaststroke,50m,26.55,SHIMAZAKI Shotaro,,JPN,10/05/2026
world,,masters,30-34,male,25m,butterfly,100m,51.26,MORGAN David,,AUS,27/06/2026
world,,masters,30-34,male,25m,butterfly,200m,01:53.56,SKVORTSOV Nikolay,,RUS,25/11/2017
world,,masters,30-34,male,25m,butterfly,50m,22.87,RUPPRATH Thomas,,GER,16/05/2009
world,,masters,30-34,male,25m,freestyle,100m,47.29,LAGUNOV Evgeniy,,RUS,27/11/2015
world,,masters,30-34,male,25m,freestyle,1500m,15:30.92,LA TOURETTE Chad,,USA,26/01/2019
world,,masters,30-34,male,25m,freestyle,200m,01:46.12,TOWNSEND Darian,,USA,27/09/2014
world,,masters,30-34,male,25m,freestyle,400m,03:48.54,JOHANNESSEN Frans,,DEN,30/09/2023
world,,masters,30-34,male,25m,freestyle,50m,21.53,ROSA MESSIAS Felipe,,BRA,05/12/2021
world,,masters,30-34,male,25m,freestyle,800m,08:04.40,IPSEN Anton Ørskov,,USA,23/11/2025
world,,masters,30-34,male,25m,individual_medley,100m,53.28,TOWNSEND Darian,,USA,13/11/2016
world,,masters,30-34,male,25m,individual_medley,200m,01:56.96,TOWNSEND Darian,,USA,13/11/2016
world,,masters,30-34,male,25m,individual_medley,400m,04:16.06,TOWNSEND Darian,,USA,12/11/2016
world,,masters,30-34,male,50m,backstroke,100m,55.73,MAEJIMA Ryota,,JPN,19/07/2026
world,,masters,30-34,male,50m,backstroke,200m,02:00.90,MORALES MIRANDA Yeziel,,USA,17/05/2026
world,,masters,30-34,male,50m,backstroke,50m,25.53,FESIKOV Sergey,,RUN,24/09/2023
world,,masters,30-34,male,50m,breaststroke,100m,01:00.83,SHIMAZAKI Shotaro,,JPN,06/07/2024
world,,masters,30-34,male,50m,breaststroke,200m,02:15.51,YAMAGUCHI Akihiro,,JPN,18/07/2026
world,,masters,30-34,male,50m,breaststroke,50m,27.62,ROMANOV Pavel,,USA,25/07/2026
world,,masters,30-34,male,50m,butterfly,100m,53.10,MARTINS Henrique,,BRA,08/04/2022
world,,masters,30-34,male,50m,butterfly,200m,02:03.43,OGA Takatsuga,,JPN,17/08/2019
world,,masters,30-34,male,50m,butterfly,50m,23.16,KOSTIN Oleg,,RUS,26/05/2023
world,,masters,30-34,male,50m,freestyle,100m,49.80,TOWNSEND Darian,,USA,23/07/2016
world,,masters,30-34,male,50m,freestyle,1500m,15:25.79,WOLFGARTEN Jan,,GER,11/03/2012
world,,masters,30-34,male,50m,freestyle,200m,01:49.56,TOWNSEND Darian,,USA,06/08/2016
world,,masters,30-34,male,50m,freestyle,400m,03:58.12,TOWNSEND Darian,,USA,23/07/2016
world,,masters,30-34,male,50m,freestyle,50m,22.13,SCHOEMAN Roland,,USA,13/07/2013
world,,masters,30-34,male,50m,freestyle,800m,08:08.53,WOLFGARTEN Jan,,GER,11/03/2012
world,,masters,30-34,male,50m,individual_medley,200m,02:02.18,TOWNSEND Darian,,USA,22/05/2016
world,,masters,30-34,male,50m,individual_medley,400m,04:20.81,TOWNSEND Darian,,USA,23/07/2016
world,,masters,35-39,female,25m,backstroke,100m,01:00.43,INADA Noriko,,USA,19/11/2017
world,,masters,35-39,female,25m,backstroke,200m,02:13.37,OHASHI Kana,,JPN,16/11/2013
world,,masters,35-39,female,25m,backstroke,50m,27.63,INADA Noriko,,USA,13/11/2016
world,,masters,35-39,female,25m,breaststroke,100m,01:08.49,WEBER - CHOCOVA Petra,,CZE,11/11/2023
world,,masters,35-39,female,25m,breaststroke,200m,02:30.63,MATSUDA Hitomi,,JPN,10/03/2012
world,,masters,35-39,female,25m,breaststroke,50m,30.96,WEBER - CHOCOVA Petra,,CZE,20/11/2023
world,,masters,35-39,female,25m,butterfly,100m,01:00.19,SARRUF Carolina,,BRA,06/04/2024
world,,masters,35-39,female,25m,butterfly,200m,02:14.46,SARRUF Carolina,,BRA,24/07/2021
world,,masters,35-39,female,25m,butterfly,50m,27.29,HERRMANN Danielle,,USA,08/10/2022
world,,masters,35-39,female,25m,freestyle,100m,54.95,TORRES Dara,,USA,03/12/2006
world,,masters,35-39,female,25m,freestyle,1500m,16:52.94,GEORGE Heidi,,USA,27/09/2015
world,,masters,35-39,female,25m,freestyle,200m,02:00.66,BALSANO Veronica,,PAR,14/04/2026
world,,masters,35-39,female,25m,freestyle,400m,04:19.96,CASSON Sophie,,GBR,15/07/2023
world,,masters,35-39,female,25m,freestyle,50m,25.10,TORRES Dara,,USA,03/12/2006
world,,masters,35-39,female,25m,freestyle,800m,08:50.76,CASSON Sophie,,GBR,31/01/2020
world,,masters,35-39,female,25m,individual_medley,100m,01:02.76,WEBER - CHOCOVA Petra,,CZE,19/11/2023
world,,masters,35-39,female,25m,individual_medley,200m,02:16.88,BALSANO Veronica,,PAR,14/04/2026
world,,masters,35-39,female,25m,individual_medley,400m,04:47.49,BALSANO Veronica,,PAR,13/04/2026
world,,masters,35-39,female,50m,backstroke,100m,01:01.75,INADA Noriko,,USA,19/08/2017
world,,masters,35-39,female,50m,backstroke,200m,02:18.20,PIPES Karlyn,,USA,10/08/1997
world,,masters,35-39,female,50m,backstroke,50m,28.63,INADA Noriko,,USA,18/08/2016
world,,masters,35-39,female,50m,breaststroke,100m,01:10.47,HERRMANN Danielle,,USA,05/08/2022
world,,masters,35-39,female,50m,breaststroke,200m,02:34.00,CELLI Elisa,,ITA,10/05/2025
world,,masters,35-39,female,50m,breaststroke,50m,31.35,HERRMANN Danielle,,USA,07/08/2022
world,,masters,35-39,female,50m,butterfly,100m,01:02.04,SARRUF Carolina,,BRA,30/07/2022
world,,masters,35-39,female,50m,butterfly,200m,02:20.21,PIPES Karlyn,,USA,10/08/1997
world,,masters,35-39,female,50m,butterfly,50m,27.46,INADA Noriko,,USA,05/08/2014
world,,masters,35-39,female,50m,freestyle,100m,57.24,BALSANO Veronica,,BRA,03/05/2025
world,,masters,35-39,female,50m,freestyle,1500m,17:17.22,GEORGE Heidi,,USA,06/08/2015
world,,masters,35-39,female,50m,freestyle,200m,02:05.38,BALSANO Veronica,,BRA,04/05/2025
world,,masters,35-39,female,50m,freestyle,400m,04:26.17,PIPES Karlyn,,USA,10/08/1997
world,,masters,35-39,female,50m,freestyle,50m,25.58,LOOF Nadine,,AUS,29/06/2024
world,,masters,35-39,female,50m,freestyle,800m,09:08.47,CAMERON Kirsten,,AUS,18/11/2012
world,,masters,35-39,female,50m,individual_medley,200m,02:19.59,BALSANO Veronica,,BRA,02/05/2025
world,,masters,35-39,female,50m,individual_medley,400m,04:59.59,MATSUDA Hitomi,,JPN,16/06/2012
world,,masters,35-39,male,25m,backstroke,100m,52.73,MORITA Junichi,,JPN,13/04/2024
world,,masters,35-39,male,25m,backstroke,200m,01:56.75,MORITA Junichi,,JPN,16/02/2025
world,,masters,35-39,male,25m,backstroke,50m,24.48,HOCKIN BRUSQUETTI Charles,,PAR,16/04/2026
world,,masters,35-39,male,25m,breaststroke,100m,59.01,KOBAYASHI Ryo,,JPN,17/11/2024
world,,masters,35-39,male,25m,breaststroke,200m,02:10.59,FISCHER Brandon,,USA,05/12/2025
world,,masters,35-39,male,25m,breaststroke,50m,26.66,SCHOEMAN Roland,,USA,17/11/2018
world,,masters,35-39,male,25m,butterfly,100m,52.29,HASEGAWA Takuya,,JPN,10/03/2024
world,,masters,35-39,male,25m,butterfly,200m,02:00.01,ITO Tatsuya,,JPN,28/05/2023
world,,masters,35-39,male,25m,butterfly,50m,23.12,SCHOEMAN Roland,,USA,18/11/2018
world,,masters,35-39,male,25m,freestyle,100m,47.70,SCHOEMAN Roland,,USA,18/11/2018
world,,masters,35-39,male,25m,freestyle,1500m,15:41.78,LA TOURETTE Chad,,USA,28/01/2023
world,,masters,35-39,male,25m,freestyle,200m,01:48.08,HIHARA Shogo,,JPN,19/01/2025
world,,masters,35-39,male,25m,freestyle,400m,03:54.69,MODROV Drew,,USA,23/05/2026
world,,masters,35-39,male,25m,freestyle,50m,21.53,FOSTER Mark,,GBR,27/10/2007
world,,masters,35-39,male,25m,freestyle,800m,08:13.11,MODROV Drew,,USA,24/11/2024
world,,masters,35-39,male,25m,individual_medley,100m,54.82,ITO Tatsuya,,JPN,07/04/2024
world,,masters,35-39,male,25m,individual_medley,200m,01:59.85,TOWNSEND Darian,,USA,27/10/2019
world,,masters,35-39,male,25m,individual_medley,400m,04:19.79,TOWNSEND Darian,,USA,26/10/2019
world,,masters,35-39,male,50m,backstroke,100m,56.46,HOCKIN BRUSQUETTI Charles,,PAR,12/08/2025
world,,masters,35-39,male,50m,backstroke,200m,02:01.32,MORITA Junichi,,JPN,05/07/2024
world,,masters,35-39,male,50m,backstroke,50m,25.76,RAZETO Stefano,,GER,02/06/2024
world,,masters,35-39,male,50m,breaststroke,100m,01:01.99,KOBAYASHI Ryo,,JPN,06/07/2024
world,,masters,35-39,male,50m,breaststroke,200m,02:16.38,FISCHER Brandon,,USA,08/08/2025
world,,masters,35-39,male,50m,breaststroke,50m,27.83,NOMURA Ryouta,,JPN,11/08/2023
world,,masters,35-39,male,50m,butterfly,100m,53.65,KAWAMOTO Kohei,,USA,02/08/2018
world,,masters,35-39,male,50m,butterfly,200m,02:02.54,SKVORTSOV Nikolay,,RUS,26/04/2019
world,,masters,35-39,male,50m,butterfly,50m,23.74,RAZETO Stefano,,GER,30/05/2025
world,,masters,35-39,male,50m,freestyle,100m,50.55,OWEN Cameron David,,USA,24/01/2025
world,,masters,35-39,male,50m,freestyle,1500m,16:00.04,STOYCHEV Petar,,BUL,11/03/2012
world,,masters,35-39,male,50m,freestyle,200m,01:51.84,HIHARA Shogo,,JPN,07/08/2023
world,,masters,35-39,male,50m,freestyle,400m,03:59.79,HIHARA Shogo,,JPN,21/09/2025
world,,masters,35-39,male,50m,freestyle,50m,22.40,RAZETO Stefano,,GER,31/05/2025
world,,masters,35-39,male,50m,freestyle,800m,08:17.65,REVISHVILI Irakli,,UAE,26/02/2024
world,,masters,35-39,male,50m,individual_medley,200m,02:05.65,TOWNSEND Darian,,USA,07/07/2019
world,,masters,35-39,male,50m,individual_medley,400m,04:35.08,HIHARA Shogo,,JPN,14/12/2025
world,,masters,40-44,female,25m,backstroke,100m,01:01.63,STAMPFLI Carla,,SUI,02/11/2024
world,,masters,40-44,female,25m,backstroke,200m,02:13.49,HARRIGAN Kelly,,USA,26/10/2024
world,,masters,40-44,female,25m,backstroke,50m,28.24,STAMPFLI Carla,,SUI,03/11/2024
world,,masters,40-44,female,25m,breaststroke,100m,01:08.94,HEIDEMANN Nicole,,GER,02/11/2024
world,,masters,40-44,female,25m,breaststroke,200m,02:32.17,HEIDEMANN Nicole,,GER,05/11/2022
world,,masters,40-44,female,25m,breaststroke,50m,31.58,HEIDEMANN Nicole,,GER,01/12/2024
world,,masters,40-44,female,25m,butterfly,100m,01:01.70,VON DER LIPPE Susan,,USA,21/11/2009
world,,masters,40-44,female,25m,butterfly,200m,02:16.03,SARRUF Carolina,,BRA,16/04/2026
world,,masters,40-44,female,25m,butterfly,50m,27.79,STAMPFLI Carla,,SUI,03/11/2024
world,,masters,40-44,female,25m,freestyle,100m,56.12,LOOF Nadine,,AUS,30/04/2026
world,,masters,40-44,female,25m,freestyle,1500m,16:47.49,FUJINO Maiko,,JPN,07/06/2026
world,,masters,40-44,female,25m,freestyle,200m,02:05.06,FUJINO Maiko,,JPN,14/01/2024
